"No","Sirket","AboneNo","IsletmeKodu","AboneAdi","AboneAdresi","BagAnlasma","Carpan","SayacSeriNo","Seyt","DirekSayisi","ArmaturSayisi","ArmaturGucu","24SaatlikCalisma","DenetlenenAbone"
"1","YESILIRMAK","04100079019","19.0.0.0.0","","","Var","1","52698224","1,784","27","18","1784","0","0"
"2","YESILIRMAK","04100079048","19.0.0.0.0","","","Var","1","52665165","4,78","51","48","4780","0","0"
"3","YESILIRMAK","04100079101","55.0.0.0.0","TR 29 COSARLAR 1.","","Var","1","52714501","6,85083","44","44","6800","0","0"
"4","YESILIRMAK","04100079123","55.0.0.0.0","TR 32/1","DEVLET HASTANESI YANI","Var","1","52706159","7,2","55","45","7000","0","0"
"5","YESILIRMAK","04100079132","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52703287","7,4663","162","65","7980","0","1"
"6","YESILIRMAK","04100079165","52.0.0.0.0","","","Var","1","52714528","2,88","114","29","3310","0","0"
"7","YESILIRMAK","04100079172","55.0.0.0.0","SOKAK AYD.","/***CAN LOKANTASI KERIMBEY YANI TR","Var","1","52713283","5,351","67","134","13800","0","1"
"8","YESILIRMAK","04100079174","57.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52699413","2,859","37","23","2105","0","1"
"9","YESILIRMAK","04100079234","55.0.0.0.0","","","Var","1","52705278","1,633","21","27","3000","0","1"
"10","YESILIRMAK","04100079242","5.0.0.0.0","SULUOVA BELEDIYESI","TR SEVAL KOOP.EV.","Var","1","52699831","10,8675","66","66","10867,5","0","0"
"11","YESILIRMAK","04100079246","55.0.0.0.0","CANIK BELEDIYESI ","","Var","1","52716491","8,62","65","65","8000","0","0"
"12","YESILIRMAK","04100079401","55.0.0.0.0","ANAKENTBEL SK AYDINLAT.","","Var","1","52716247","6,907","40","40","4428","0","1"
"13","YESILIRMAK","04100079404","55.0.0.0.0","","","Var","1","52705990","1,783","47","17","1700","0","0"
"14","YESILIRMAK","04100079408","55.0.0.0.0","","","Var","1","52706352","2,418","75","20","2500","0","1"
"15","YESILIRMAK","04100079438","19.0.0.0.0","","","Var","1","52696806","6,466","82","82","1850","0","1"
"16","YESILIRMAK","04100079458","19.0.0.0.0","","","Var","1","52665830","1,55","15","8","1200","0","0"
"17","YESILIRMAK","04100079598","52.0.0.0.0","","/***ORTAOKUL YANI","Var","1","52716240","5,52","152","51","6200","0","0"
"18","YESILIRMAK","04100079619","52.0.0.0.0","PERSEMBE BELEDIYESI","","Var","1","52694424","13,86","154","66","16500","0","0"
"19","YESILIRMAK","04100079668","55.0.0.0.0","SOKAKAYDINLATMASI","","Var","1","52665072","1,96","28","16","2000","0","0"
"20","YESILIRMAK","04100079702","52.0.0.0.0","","","Var","1","52703128","3,65","108","37","4200","0","0"
"21","YESILIRMAK","04100079750","52.0.0.0.0","","/***KALEDERE CUMHURIYET MEYDANI","Var","1","52724516","0,69","23","7","790","1","0"
"22","YESILIRMAK","04100079751","55.0.0.0.0","YESILKENTBEL SK AYDINLAT","/***OTOGAR YANI","Var","1","52711699","5,17","35","30","4000","0","0"
"23","YESILIRMAK","04100079767","5.0.0.0.0","MERZIFON BELEDIYESI","","Var","1","52704254","14,5","101","101","14500","0","0"
"24","YESILIRMAK","04100079801","55.0.0.0.0","SOKAKAYDINLATMASI 19.MAY","/***KUMCAGIZ-SENERLER19 MAYIS","Var","1","52707128","13,88","56","56","8400","0","0"
"25","YESILIRMAK","04100079802","55.0.0.0.0","","","Var","1","52705507","5,58","89","63","7475","0","1"
"26","YESILIRMAK","04100079466","5.0.0.0.0","MERZIFON BELEDIYESI","BAGLARBASI PARKI","Var","1","52714474","0,408","6","6","845","0","1"
"27","YESILIRMAK","04100079498","52.0.0.0.0","AYBASTI BELEDIYESI","/***ALACALAR BELDESI MASATALANI TR. 50 KVA","Var","1","52705546","2,84","66","19","2950","0","0"
"28","YESILIRMAK","04100079499","55.0.0.0.0","","","Var","1","52705358","5,588","42","36","4375","0","1"
"29","YESILIRMAK","04100079928","19.0.0.0.0","","","Var","1","52704194","5,868","71","59","5868","0","0"
"30","YESILIRMAK","04100079966","19.0.0.0.0","","","Var","1","52665672","0,655","16","11","766","0","1"
"31","YESILIRMAK","04100079981","55.0.0.0.0","","","Var","1","52703619","4,2","35","35","4200","0","0"
"32","YESILIRMAK","04100080029","19.0.0.0.0","OSMANCIK BELEDIYESI","","Var","1","52706871","19,147","144","173","13045","0","1"
"33","YESILIRMAK","04100080072","55.0.0.0.0","","","Var","1","52703169","4,323","52","14","1875","0","1"
"34","YESILIRMAK","04100080114","52.0.0.0.0","ALTINORDU BELEDIYESI","","Var","1","52696978","3,92","140","35","4220","0","0"
"35","YESILIRMAK","04100080116","52.0.0.0.0","ALTINORDU BELEDIYESI","/***TR-22///YENI MAH.POLIS KARAKOLUB.DIREK 400 KVA TR.","Var","1","52714676","2,688","33","33","3380","0","1"
"36","YESILIRMAK","04100080173","52.0.0.0.0","","","Var","1","52714772","1,833","74","22","2660","0","1"
"37","YESILIRMAK","04100080231","55.0.0.0.0","","","Var","1","52665819","4,4","29","21","2000","0","0"
"38","YESILIRMAK","04100080265","55.0.0.0.0","GENELAYDINLATMA","","Var","1","52714530","9,754","62","55","7750","0","1"
"39","YESILIRMAK","04100080299","52.0.0.0.0","","/***YAGMURTEPE  SAHINOGLU","Var","1","52714318","12,35","247","124","14200","0","0"
"40","YESILIRMAK","04100080301","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52699528","5,845","216","75","9230","0","1"
"41","YESILIRMAK","04100080336","19.0.0.0.0","","","Var","1","52665285","6","49","32","3475","0","0"
"42","YESILIRMAK","04100080404","52.0.0.0.0","","","Var","1","52716798","37,14","74","148","37000","0","0"
"43","YESILIRMAK","04100080408","52.0.0.0.0","","","Var","1","52716047","2,504","100","64","3940","0","1"
"44","YESILIRMAK","04100080436","55.0.0.0.0","SOKAKAYDINLATMASI","","Var","1","52715637","14,1","35","38","15000","0","1"
"45","YESILIRMAK","04100080489","5.0.0.0.0","","75. YIL PARKI  TRAFO TR:6/2SOKAK AYDINLATMA","Var","1","52665652","16","76","76","16000","0","0"
"46","YESILIRMAK","04100080492","55.0.0.0.0","SOKAK LAMBASI","","Var","1","52715929","9,0540540541","55","55","6750","0","0"
"47","YESILIRMAK","04100080505","52.0.0.0.0","ULUBEY BELEDIYESI","/***ULUBEY SIHLAR DEGIRMENDERE YENI PANO","Var","1","52699034","14,15","171","135","16650","0","0"
"48","YESILIRMAK","04100080511","55.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52709623","0,83913","6","6","900","1","0"
"49","YESILIRMAK","04100080525","19.0.0.0.0","","","Var","1","52666363","3,75","39","30","3500","0","0"
"50","YESILIRMAK","04100080635","52.0.0.0.0","PERSEMBE BELEDIYESI","","Var","1","52665119","6,98","135","62","7590","0","0"
"51","YESILIRMAK","04100080650","52.0.0.0.0","","","Var","1","52705576","0,71","23","7","780","0","0"
"52","YESILIRMAK","04100080653","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52698308","6,5","159","57","7070","0","0"
"53","YESILIRMAK","04100080666","5.0.0.0.0","","SALLAR SOKAK AYDINLATMA","Var","1","52665114","9,44748","89","89","9447","0","0"
"54","YESILIRMAK","04100080686","52.0.0.0.0","ALTINORDU BELEDIYESI","","Var","1","52694485","3,993","97","32","3930","0","1"
"55","YESILIRMAK","04100080692","19.0.0.0.0"," ALACA BELEDIYE BASKANLIGI","DENIZHAN MH.KERVAN SK.","Var","1","52702672","5,183","64","57","6000","0","1"
"56","YESILIRMAK","04100080706","55.0.0.0.0","SULUCA KARAKAYA","/***SULUCA KY KARAKAYA MAH","Var","1","52710134","0,565","5","5","550","0","0"
"57","YESILIRMAK","04100080757","55.0.0.0.0","","","Var","1","52706902","4,082","61","40","5110","0","1"
"58","YESILIRMAK","04100080797","55.0.0.0.0","ATAKUM BELEDIYESI ","","Var","1","35021823","0","0","0","0","0","0"
"59","YESILIRMAK","04100080813","55.0.0.0.0","ILKADIM BELEDIYESI ","","Var","1","52723891","6","48","48","6000","0","0"
"60","YESILIRMAK","04100080876","52.0.0.0.0","","","Var","1","52704988","3,108","87","37","3140","0","0"
